Username,Time_created,Description
USER0023,2024-01-03 06:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-01-06 06:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-01-07 06:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-01-11 06:00:45,Watering system in Garden GAR0001 failed to activate.
USER0023,2024-01-14 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-01-18 18:00:35,Garden GAR0001 is experiencing abnormal light fluctuations.
USER0023,2024-01-21 18:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-01-26 18:00:45,Garden GAR0001 irrigation system detected an issue.
USER0023,2024-01-29 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-02-16 18:00:35,Lighting system in Garden GAR0001 is malfunctioning.
USER0023,2024-02-22 18:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-03-08 18:00:45,Watering system in Garden GAR0001 failed to activate.
USER0023,2024-03-22 06:00:45,Garden GAR0001 irrigation system detected an issue.
USER0023,2024-04-21 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-04-27 06:00:50,Temperature regulation failure detected in Garden GAR0001.
USER0023,2024-04-27 18:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-04-30 06:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-05-02 18:00:50,Temperature regulation failure detected in Garden GAR0001.
USER0023,2024-05-03 06:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-05-07 18:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-05-08 18:00:50,Heating system in Garden GAR0001 is malfunctioning.
USER0023,2024-05-10 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-05-20 06:00:45,Garden GAR0001 irrigation system detected an issue.
USER0023,2024-06-11 06:00:50,Temperature regulation failure detected in Garden GAR0001.
USER0023,2024-06-26 06:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-06-26 18:00:35,Lighting system in Garden GAR0001 is malfunctioning.
USER0023,2024-07-03 18:00:50,Heating system in Garden GAR0001 is malfunctioning.
USER0023,2024-07-15 18:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-07-16 06:00:35,Garden GAR0001 is experiencing abnormal light fluctuations.
USER0023,2024-07-21 06:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-07-22 18:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-07-27 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-08-10 18:00:45,Garden GAR0001 irrigation system detected an issue.
USER0023,2024-08-18 18:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-08-21 06:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-09-04 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-09-07 18:00:50,Temperature regulation failure detected in Garden GAR0001.
USER0023,2024-09-10 18:00:45,Watering system in Garden GAR0001 failed to activate.
USER0023,2024-09-16 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-09-20 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-09-26 06:00:45,Watering system in Garden GAR0001 failed to activate.
USER0023,2024-10-03 06:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-10-07 06:00:45,Garden GAR0001 irrigation system detected an issue.
USER0023,2024-10-20 18:00:35,Garden GAR0001 is experiencing abnormal light fluctuations.
USER0023,2024-10-20 18:00:45,Watering system in Garden GAR0001 failed to activate.
USER0023,2024-10-25 06:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-10-27 18:00:50,Heating system in Garden GAR0001 is malfunctioning.
USER0023,2024-11-05 18:00:50,Temperature regulation failure detected in Garden GAR0001.
USER0023,2024-11-06 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-11-10 06:00:50,Heating system in Garden GAR0001 is malfunctioning.
USER0023,2024-11-11 06:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-11-12 18:00:50,Heating system in Garden GAR0001 is malfunctioning.
USER0023,2024-11-19 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-11-22 18:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-11-24 06:00:55,Cooling system in Garden GAR0001 is not operating correctly.
USER0023,2024-12-04 06:00:45,Garden GAR0001 irrigation system detected an issue.
USER0023,2024-12-06 18:00:55,Garden GAR0001 cooling system is underperforming.
USER0023,2024-12-09 06:00:50,Temperature regulation failure detected in Garden GAR0001.
